Company,Sector,Price,1D,YTD,M.Cap,Date
Company,Sector,Price,1D,YTD,M.Cap,Date
Suez Canal Bank,Financials,41.04,+1.61%,+9.21%,26.67,24/03
Suez Cement,Industrials,7.40,-,-,1.34,24/03
Taaleem Management Services,Consumer Services,15.20,-2.69%,-1.81%,11.15,24/03
Taghleef Industries - Egypt,Industrials,23.96,-,-,0,10/08
Tanmiya for Real Estate Investment,Technology,4.48,+0.45%,-5.29%,0.65,24/03
Telecom Egypt,Telecom,82.60,-2.12%,+25.59%,141,24/03
Tenth of Ramadan for Pharmaceutical Industries and Diagnostic Reagents - Rameda,Health Care,4.34,-2.47%,+30.33%,8.68,24/03
The Arab Dairy Products,Consumer Goods,3.61,+1.98%,-5.99%,1.8,24/03
TMG Holding,Financials,78.50,-0.63%,-1.88%,161.76,24/03
Tourah Cement,Industrials,6.77,-,-,0.48,24/03
Tourism Urbanization,Consumer Services,6.85,-,-,0,24/03
Trans Oceans Tours,Consumer Services,0.03,-,-,0.16,24/03
Union National Bank Egypt,Financials,6.43,-,-,1.61,24/03
United Arab Stevedoring,Industrials,0.64,-,-,0.12,24/03
United Housing & Development,Financials,9.89,-,-7.83%,2.32,24/03
Universal Company for Packaging Materials and Paper,Industrials,0.27,-,-10.00%,0.62,24/03
Univert Food Industries,Consumer Goods,0.95,-4.04%,+3.26%,0,10/08
Upper Egypt Flour Mills,Consumer Goods,458.25,-,-4.22%,3.2,24/03
Utopia Real Estate Investment and Tourism,Financials,5.02,-,-25.85%,0,10/08
Vertika,Technology,1.57,-,-,0.04,06/01
Vodafone Egypt,Telecom,61.21,+1.64%,+72.18%,0,10/08
Wadi Kom Ombo for Land Reclamation,Industrials,285.32,-0.76%,-8.86%,1.59,24/03
Xpress Integration,Technology,1.00,-,-,0,10/08
Zahraa Maadi Investment & Development,Financials,5.42,+0.18%,-5.57%,5.42,24/03
Sixth of October Development and Investment - SODIC,19.71,+10.05%,24/03,,,
Gulf Canadian Company for Arab Real Estate Investment,1.47,+8.09%,24/03,,,
Abu Qir Fertilizers,94.00,+8.05%,24/03,,,
Misr Chemical Industries,37.22,+7.88%,24/03,,,
Arab Real Estate Investment,2.61,+7.85%,24/03,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,BRVM-CI,403.58,+0.15%,24/03,,
,BSE DCI,"11,116.70",-,24/03,,
,DSE ASI,"3,937.22",-0.09%,24/03,,
,EGX 30,"46,930.88",-1.43%,24/03,,
,GSE-CI,"15,316.66",-2.39%,24/03,,
,JSE ASI,"110,070.23",-0.45%,20/03,,
,LuSE ASI,"27,054.15",-0.20%,24/03,,
,MASI,"17,236.40",-0.04%,24/03,,
,MSE ASI,"576,813.53",-0.04%,24/03,,
,NGX ASI,"200,705.88",+0.85%,24/03,,
,NSE ASI,202.52,-0.55%,24/03,,
,NSX OI,"2,070.30",-0.96%,20/03,,
,RSE ASI,189.25,+0.22%,24/03,,
,SEM ASI,"2,019.97",+0.52%,24/03,,
,TUNINDEX,"15,413.59",-0.74%,23/03,,
,USE ASI,"2,069.49",+0.34%,24/03,,
,ZSE ASI,363.22,+2.84%,24/03,,
